State,ID
Alabama,0
Alaska,1
Arizona,2
California,3
Arkansas,4
Connecticut,5
Colorado,6
Delaware,7
Florida,8
Georgia,9
Hawaii,10
Idaho,11
Indiana,12
District of Columbia,13
Kansas,14
Iowa,15
Maryland,16
Minnesota,17
Montana,18
New Jersey,19
Nebraska,20
New York,21
Ohio,22
Oklahoma,23
Texas,24
Vermont,25
Washington,26
Utah,27
Illinois,28
West Virginia,29
Virginia,30
Massachusetts,31
Kentucky,32
Louisiana,33
Maine,34
Wisconsin,35
Michigan,36
Mississippi,37
Missouri,38
Nevada,39
New Hampshire,40
New Mexico,41
South Carolina,42
North Carolina,43
North Dakota,44
Oregon,45
Pennsylvania,46
Rhode Island,47
South Dakota,48
Tennessee,49
Wyoming,50
Guam,51
Puerto Rico,52
Virgin Islands,53
